stars,comment
5.0 out of 5 stars,"









  
  
    
  Fabulous

  
"
4.0 out of 5 stars,"









  
  
    
  Nice

  
"
5.0 out of 5 stars,"









  
  
    
  Nice value for money

  
"
5.0 out of 5 stars,"









  
  
    
  peacock model

  
"
4.0 out of 5 stars,"









  
  
    
  Quality is not so good

  
"
5.0 out of 5 stars,"









  
  
    
  Good product at this price.

  
"
1.0 out of 5 stars,"









  
  
    
  Cheep quality, don't waste money...

  
"
1.0 out of 5 stars,"









  
  
    
  Poor quality

  
"
4.0 out of 5 stars,"









  
  
    
  Look nice and good colour combination

  
"
1.0 out of 5 stars,"









  
  
    
  Very worst cloth not worthy for ₹200.plz don't buy the saree

  
"
5.0 out of 5 stars,"









  
  
    
  Good product at Cheap price

  
"
5.0 out of 5 stars,"









  
  
    
  Self

  
"
1.0 out of 5 stars,"









  
  
    
  Print quality issue

  
"
1.0 out of 5 stars,"









  
  
    
  Not gud

  
"
5.0 out of 5 stars,"









  
  
    
  Was as expected

  
"
5.0 out of 5 stars,"









  
  
    
  Very Beautiful

  
"
3.0 out of 5 stars,"









  
  
    
  Not Good

  
"
4.0 out of 5 stars,"









  
  
    
  Ok

  
"
3.0 out of 5 stars,"









  
  
    
  Good sarees

  
"
5.0 out of 5 stars,"









  
  
    
  Nice

  
"
3.0 out of 5 stars,"









  
  
    
  I like product.value for money.

  
"
1.0 out of 5 stars,"









  
  
    
  Very bad product...

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice sari.. Loved it

  
"
5.0 out of 5 stars,"









  
  
    
  Its soooo beautiful saree

  
"
5.0 out of 5 stars,"









  
  
    
  Amazing sarees

  
"
1.0 out of 5 stars,"









  
  
    
  Bad

  
"
5.0 out of 5 stars,"









  
  
    
  Good

  
"
5.0 out of 5 stars,"









  
  
    
  Good quality

  
"
4.0 out of 5 stars,"









  
  
    
  width is little less . otherwise product is okay.

  
"
5.0 out of 5 stars,"









  
  
    
  It is so beautiful...

  
"
5.0 out of 5 stars,"









  
  
    
  Good product

  
"
4.0 out of 5 stars,"









  
  
    
  product is very good as per cost

  
"
5.0 out of 5 stars,"









  
  
    
  Superb

  
"
5.0 out of 5 stars,"









  
  
    
  I am satisfied with this product.

  
"
5.0 out of 5 stars,"









  
  
    
  Value for money

  
"
5.0 out of 5 stars,
4.0 out of 5 stars,"









  
  
    
  Good

  
"
5.0 out of 5 stars,"









  
  
    
  Nice

  
"
5.0 out of 5 stars,"









  
  
    
  Like

  
"
4.0 out of 5 stars,"









  
  
    
  Go for it

  
"
5.0 out of 5 stars,"









  
  
    
  Like it

  
"
1.0 out of 5 stars,"









  
  
    
  Product is not good

  
"
3.0 out of 5 stars,"









  
  
    
  Nice saree

  
"
5.0 out of 5 stars,"









  
  
    
  Super

  
"
3.0 out of 5 stars,"









  
  
    
  Liked

  
"
4.0 out of 5 stars,"









  
  
    
  Nice saree

  
"
4.0 out of 5 stars,"









  
  
    
  Beautiful

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice product...

  
"
2.0 out of 5 stars,"









  
  
    
  Width chhoti h

  
"
1.0 out of 5 stars,"









  
  
    
  Poor quality

  
"
4.0 out of 5 stars,"









  
  
    
  Superb

  
"
2.0 out of 5 stars,"









  
  
    
  Product is not well

  
"
3.0 out of 5 stars,"









  
  
    
  Good

  
"
3.0 out of 5 stars,"









  
  
    
  Comfort

  
"
5.0 out of 5 stars,"









  
  
    
  Colour

  
"
4.0 out of 5 stars,"









  
  
    
  This is nice Saree look simple and sweet

  
"
3.0 out of 5 stars,"









  
  
    
  Its ok but we expectd more...

  
"
2.0 out of 5 stars,"









  
  
    
  No

  
"
1.0 out of 5 stars,"









  
  
    
  I like but saree colour is faded

  
"
4.0 out of 5 stars,"









  
  
    
  Very nice.

  
"
5.0 out of 5 stars,"









  
  
    
  Thanks

  
"
5.0 out of 5 stars,"









  
  
    
  Good

  
"
5.0 out of 5 stars,"









  
  
    
  Value for money

  
"
2.0 out of 5 stars,"









  
  
    
  Waste of  money

  
"
4.0 out of 5 stars,"









  
  
    
  Super

  
"
5.0 out of 5 stars,"









  
  
    
  Like

  
"
4.0 out of 5 stars,"









  
  
    
  Awesome product

  
"
2.0 out of 5 stars,"









  
  
    
  I suppose not to buy this product

  
"
1.0 out of 5 stars,"









  
  
    
  Fraudulent.

  
"
1.0 out of 5 stars,"









  
  
    
  Not worthfull

  
"
1.0 out of 5 stars,"









  
  
    
  Not worthy

  
"
4.0 out of 5 stars,"









  
  
    
  good

  
"
3.0 out of 5 stars,"









  
  
    
  Nice

  
"
1.0 out of 5 stars,"









  
  
    
  Product quality verry bad

  
"
2.0 out of 5 stars,"









  
  
    
  Poor quality

  
"
5.0 out of 5 stars,"









  
    
  अतिसुन्दर

  
  
"
4.0 out of 5 stars,"









  
  
    
  Super

  
"
1.0 out of 5 stars,"









  
  
    
  Waste of money

  
"
3.0 out of 5 stars,"









  
  
    
  Good one..

  
"
1.0 out of 5 stars,"









  
  
    
  Bad quality and prints

  
"
4.0 out of 5 stars,"









  
  
    
  good

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice product

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice fabric

  
"
3.0 out of 5 stars,"









  
  
    
  Nice product

  
"
5.0 out of 5 stars,"









  
  
    
  I like this product.

  
"
2.0 out of 5 stars,"









  
  
    
  Poor quality

  
"
3.0 out of 5 stars,"









  
  
    
  It's ok

  
"
5.0 out of 5 stars,"









  
  
    
  Superb saree with a beautiful A1 quality and colour is wonderful. Very very trustworthy. Its light weighted and very comfortable with a best purchase value. Must buy product.

  
"
5.0 out of 5 stars,"









  
  
    
  It looks amazing with glossy finish and too light to carry, happy with the quality , delivery and packing was also appreciable, overall experience with this saree is ery nice👌

  
"
5.0 out of 5 stars,"









  
  
    
  It was a Christmas gift for my aunty.... she was very happy with it.... Light in weight.... Thanks to the team 😊

  
"
5.0 out of 5 stars,"









  
  
    
  I liked this product a lot....more than pic really it's very much beautiful..and if we wash the saree atleast 2 to 3 times the printing goes....but the combination of saree is very beautiful....😘😘😍👍

  
"
5.0 out of 5 stars,"









  
  
    
  Quality spatial printing sari degian lovely  and beautiful and beautiful and wonderful and comfortable product very nice and daily and party usful

  
"
1.0 out of 5 stars,"









  
  
    
  Saree is look like good but send to us damage saree 😏If like this send how we order againToo bad feed up to us amazon order 😌

  
"
5.0 out of 5 stars,"









  
  
    
  Nice saree... Very comfort... Worth for money... And light weight saree.. Everyone can buy this saree.. Thank you for this saree

  
"
1.0 out of 5 stars,"









  
  
    
  Poor cloth different than image, I am very dissatisfied this product and seller, I am very unhappy from seller thanks.

  
"
5.0 out of 5 stars,"









  
  
    
  It's as such ok product. If want to buy good looking product in less money then it's perfect for it.

  
"
4.0 out of 5 stars,"









  
  
    
  Very nice.i bought it for my mom.she liked it and carry it on karvachauth.i am very happy.keep it up.beautiful.light weight.

  
"
1.0 out of 5 stars,"









  
  
    
  Print on this saree is likely to be washed off, that's why I m returning it

  
"
5.0 out of 5 stars,"









  
  
    
  Glossy & stylish look with quality material.. Bright colour combinations and prominent fabric peacock work.. Hats off..

  
"
5.0 out of 5 stars,"









  
  
    
  This saree is of amazing quality Its dries quickly and colour doesn't fades away after wash. Colour is bright which gives it a beautiful look. Worth buying at this price.For this rate, rich look and beautiful when i wore this saree look nice.Saree colour didn't fade away after wash. Cloth Material is also smooth .overall it's value for money.

  
"
5.0 out of 5 stars,"









  
  
    
  Didn't expect this to be so elegant and classy. Gifted it to a friend, she really liked it.

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice

  
"
