stars,comment
1.0 out of 5 stars,"









  
  
    
  Wast of money don't buy it

  
"
5.0 out of 5 stars,"









  
  
    
  It's good material in this price segment

  
"
5.0 out of 5 stars,"









  
  
    
  Best saree ever ....buy it ... without dout

  
"
5.0 out of 5 stars,"









  
  
    
  Super cloth and saree was too good

  
"
5.0 out of 5 stars,"









  
  
    
  Good

  
"
4.0 out of 5 stars,"









  
  
    
  The peacock print gone after 1 wash waste of money

  
"
4.0 out of 5 stars,"









  
  
    
  Saree looks exactly same as in the pic. Fabric is soft , length is perfect, colour is also very nice as shown in pic.Worth the money. Can buy this saree👌

  
"
2.0 out of 5 stars,"









  
  
    
  The product was recieved and was found damagedProduct can be checked before shipping

  
"
1.0 out of 5 stars,"









  
  
    
  Bad quality.  Not upto the cost. The print doesn't lasts long... Not as colorful as shown in the picture... didn't expected this from amazon..

  
"
1.0 out of 5 stars,"









  
  
    
  Third class print quality

  
"
3.0 out of 5 stars,"









  
  
    
  I like Amazon Shopping and different colour and collection

  
"
1.0 out of 5 stars,"









  
  
    
  The saree is good but peacock design is went in one wash don't buy this worst product.

  
"
4.0 out of 5 stars,"









  
  
    
  Good with the price range

  
"
5.0 out of 5 stars,"









  
  
    
  Light weight, good party wear, value for money

  
"
5.0 out of 5 stars,"








  
  Your browser does not support HTML5 video.
"
5.0 out of 5 stars,"









  
  
    
  Excellent quality, we love the saree. Worth it. Go for it.

  
"
4.0 out of 5 stars,"









  
  
    
  Good

  
"
5.0 out of 5 stars,"









  
  
    
  The Saree is value for budget I had gifted 5his to mother in law on  my in laws wedding Anniversary, she just loved it as it was light weight and looking good

  
"
5.0 out of 5 stars,"









  
  
    
  saree fabric and its cloth quality is good. and saree length is full. easy washable color quality is also good

  
"
5.0 out of 5 stars,"









  
  
    
  I like very much...it's so soooo beautiful for this budget. Color and print it's very good.cloth also soo good.and comfortable for wearing.

  
"
5.0 out of 5 stars,"









  
  
    
  This saree is very beautiful. I just love the fabric. It's very sift and elegant. It looks beautiful on me. The colorful patterns makes it more beautiful and diffrent from the other pieces. Loved it a lot.

  
"
5.0 out of 5 stars,"








  
  Your browser does not support HTML5 video.










  
  
    
   This saree quality is very good I am happy

  
"
1.0 out of 5 stars,"









  
  
    
  This is oil paint printed saree ....we expect a work printed but not, finishing of print in not so good...just like a hand printed machineThe cost of saree is to high as according to material used.

  
"
1.0 out of 5 stars,"









  
  
    
  Not good, shimmery. Everything will be glued to your body after wearing or it will be gone after washing it. Received wrong color also. Returned it

  
"
1.0 out of 5 stars,"









  
  
    
  Saree quality was worst. As I invested good amount and I trusted on Amazon but I couldn't expect that Amazon will deliver this worst quality. After one wash all print got vanished saree length got smallIt's disgusting.

  
"
5.0 out of 5 stars,"









  
  
    
  Beautiful color, cloth quality and this saree is the gift for someone....Saree is more beautiful than the photos. Thanks Amazon for providing such a great quality service in this pandemic.This saree was a true surprise! It's so beautiful and price is so reasonable. Go for it!

  
"
3.0 out of 5 stars,"









  
  
    
  Not exactly as on photo, but ok to purchase on this this price.

  
"
3.0 out of 5 stars,"









  
  
    
  Small can't use for blouse

  
"
1.0 out of 5 stars,"









  
  
    
  Jakari product , pore found on cloth unexpected product.

  
"
2.0 out of 5 stars,"









  
  
    
  Look wise good but print quality on saree is not good.after one wash print is faded.Overall not satisfied.

  
"
5.0 out of 5 stars,"









  
  
    
  Same as shown in photos......thank you amazon and seller

  
"
4.0 out of 5 stars,"









  
  
    
  Saree is same as image, nice and beutiful saree in this rate

  
"
5.0 out of 5 stars,"









  
  
    
  Best

  
"
3.0 out of 5 stars,"









  
  
    
  Not bad

  
"
5.0 out of 5 stars,"









  
  
    
  Fabric is good as expected..Fits in price

  
"
2.0 out of 5 stars,"









  
  
    
  Avarage quality product but value for money

  
"
1.0 out of 5 stars,"









  
  
    
  The work came out without even using it once. Received the saree without a border work as shown in the picture.

  
"
5.0 out of 5 stars,"









  
  
    
  Fantastic saree... It looks very elegant and beautiful.. just loved it...

  
"
5.0 out of 5 stars,"









  
  
    
  Product is light weight and more comfortable. Money is also reasonable.

  
"
1.0 out of 5 stars,"









  
  
    
  Don't buy the product defective piece

  
"
4.0 out of 5 stars,"









  
  
    
  Same as shown in picture colour is shining and loved very much price is perfectly fit

  
"
5.0 out of 5 stars,"









  
  
    
  Nice product. But the printed paint is vanishing.

  
"
1.0 out of 5 stars,"









  
  
    
  Very poor quality

  
"
5.0 out of 5 stars,"









  
  
    
  I bought it for my mother on mother's day eve n trust she jst luvs it, nice fabric ,same colour print as shown in photos, value for money

  
"
4.0 out of 5 stars,"









  
  
    
  Good as expected

  
"
2.0 out of 5 stars,"









  
  
    
  Pic me achchi dikhati ,colour dark chahiye ,Ghar me bheji thi to dull colour the

  
"
5.0 out of 5 stars,"









  
  
    
  Super

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice , i like most

  
"
4.0 out of 5 stars,"









  
  
    
  I like this product, thats why i bought two from amazon, and i have happy that it delivers products on time❤

  
"
5.0 out of 5 stars,"









  
  
    
  I like this saree Nd colour combination awesome,light weight ,very comfortable no expensive cost🙏🙏

  
"
2.0 out of 5 stars,"









  
  
    
  Fabric quality is poor and color will be fade after one wash.

  
"
1.0 out of 5 stars,"









  
  
    
  I Orderd This Saree For My Sister. And The Fabric Of Cloth Is Not Good At All. And Also They Send Me Defected Product.

  
"
1.0 out of 5 stars,"









  
  
    
  Completely different from what was ordered..The quality is good but different product

  
"
5.0 out of 5 stars,"









  
  
    
  Party

  
"
1.0 out of 5 stars,"









  
  
    
  Worst ever purchase. Dhruvi Trendz selling used saree for such high prices. Guys dont ever try to purchase this products.

  
"
4.0 out of 5 stars,"









  
  
    
  Good material and colours as shown in picture.. nice to gift anyone

  
"
5.0 out of 5 stars,"









  
  
    
  Softness and good guality

  
"
5.0 out of 5 stars,"









  
  
    
  It's really awesome product, I got it as it's shown in the image.. Delivery before time. Really nice.

  
"
4.0 out of 5 stars,"









  
  
    
  Soft saree. I am returning this to buy the same saree as in this saree there was some defect.

  
"
5.0 out of 5 stars,"









  
  
    
  Excellent product. Reasonable price. Very comfortable in use. Light in weight. Wonderful product to use.

  
"
5.0 out of 5 stars,"









  
  
    
  Loved it

  
"
5.0 out of 5 stars,"









  
  
    
  Looks quite different from that given in the picture,though colour mentioned is matching ""purple"".Liked it.Thank you Amazon

  
"
5.0 out of 5 stars,"









  
  
    
  Nice colour loved the way it look. Good delivery and packaging😍😍😍Thank you Amazon😘😘😘✌

  
"
5.0 out of 5 stars,"









  
  
    
  Saree is amazing mama loves it so much

  
"
3.0 out of 5 stars,"









  
  
    
  The saree is looking good but the gold colour design fade after wash.disappointed

  
"
5.0 out of 5 stars,"









  
  
    
  Superb saree.... My mom liked very much ..it is same as shown in picture......

  
"
1.0 out of 5 stars,"









  
  
    
  Don't buy this product.. Waste..

  
"
1.0 out of 5 stars,"









  
  
    
  It's printed saree very dull saree not same as pic

  
"
5.0 out of 5 stars,"









  
  
    
  Beautiful saree. Good print and bright colour. Satisfied

  
"
1.0 out of 5 stars,"









  
  
    
  Bad product

  
"
5.0 out of 5 stars,"









  
  
    
  Light weight,value for money and beautiful colour combinations

  
"
5.0 out of 5 stars,"









  
  
    
  Value for money

  
"
2.0 out of 5 stars,"









  
  
    
  No blouse with it

  
"
4.0 out of 5 stars,"









  
  
    
  Nice looking saree

  
"
3.0 out of 5 stars,"









  
  
    
  Just after one wash the design on saree goes off.

  
"
5.0 out of 5 stars,"









  
  
    
  Product is really good as well as the quality of cloth. Thanks Amazon ❤️

  
"
4.0 out of 5 stars,"









  
  
    
  Nice

  
"
4.0 out of 5 stars,"









  
  
    
  Product is very good,I like saree's colour and designs...the peacock design is very beautiful.

  
"
5.0 out of 5 stars,"









  
  
    
  Valuable iten

  
"
4.0 out of 5 stars,"









  
  
    
  Product is good but not as expected

  
"
4.0 out of 5 stars,"









  
  
    
  the product is good

  
"
1.0 out of 5 stars,"









  
  
    
  Money waste, print on the saree has gone in one wash, useless.

  
"
5.0 out of 5 stars,"









  
  
    
  Saree is nice

  
"
4.0 out of 5 stars,"









  
  
    
  Very nice saree

  
"
1.0 out of 5 stars,"









  
  
    
  Saree cloth nice,color OK, but print very bad.....

  
"
5.0 out of 5 stars,"









  
  
    
  Awesome and quality is super👌👌👌👌 value for money and cloth is excellent

  
"
1.0 out of 5 stars,"









  
  
    
  Not original piece received...nd also not same as shown in picture totally differnt handlomm type saree fully scam ...worst

  
"
4.0 out of 5 stars,"









  
  
    
  Value for money.

  
"
5.0 out of 5 stars,"









  
  
    
  Fabric is good and light weight Saree With comfort.

  
"
4.0 out of 5 stars,"









  
  
    
  Good

  
"
2.0 out of 5 stars,"









  
  
    
  After one or two wash peacock wash out,,,very bad

  
"
5.0 out of 5 stars,"









  
  
    
  Best product, fabric is superb cost is also not to high, if one is saree lover than must try this. ...thAnk you for the best saari

  
"
5.0 out of 5 stars,"









  
  
    
  Quality was too Good...... Real Value for money

  
"
1.0 out of 5 stars,"









  
  
    
  Colour of the product was different  from the display.But now we are accepting  the same  and not returning .

  
"
5.0 out of 5 stars,"









  
  
    
  like it

  
"
1.0 out of 5 stars,"









  
  
    
  Very bad quality print. The design which was given on the saree is sticking to our hands. And the whole print will vanish after one wash

  
"
5.0 out of 5 stars,"









  
  
    
  Nice sareee☺😍

  
"
4.0 out of 5 stars,"









  
  
    
  Multi color with design

  
"
5.0 out of 5 stars,"









  
  
    
  Good quality, and comfortable

  
"
2.0 out of 5 stars,"









  
  
    
  Not very good print of the saree removed by one wash

  
"
4.0 out of 5 stars,"









  
  
    
  BUT TOO HIGH PRICE.

  
"
5.0 out of 5 stars,"









  
  
    
  Good at this price

  
"
5.0 out of 5 stars,"









  
  
    
  It's really comfortable and light weightI buyed it for my mom and it was really good

  
"
2.0 out of 5 stars,"









  
  
    
  Saree is normal. Print is some area got faded

  
"
5.0 out of 5 stars,"









  
  
    
  very beautiful piece

  
"
1.0 out of 5 stars,"









  
  
    
  Very bed product

  
"
5.0 out of 5 stars,"









  
  
    
  This sariii is very good my mother was very liked this. Good febric.

  
"
5.0 out of 5 stars,"









  
  
    
  I'll gifted to my mom really looks great 🤩I love this thanks to Amazon

  
"
5.0 out of 5 stars,"









  
  
    
  Super saree.. I got number of compliments, really I like it

  
"
